VARIABLE,LEVEL,LABEL,ORDER
HOW_BIKE,1,Biking,4
HOW_CAMP,1,Camping,5
HOW_FISH,1,Fishing,2
HOW_HIKE,1,Hiking/walking,3
HOW_HORSE,1,Horseback riding,6
HOW_HUNT,1,Hunting,1
HOW_HUNT,-2,Not applicable,10
HOW_OHV,1,Off-road vehicles,8
HOW_OTH,1,Other,9
HOW_SKI,1,Skiing/snowshoeing,7
LONG_TERM,1,Yes,1
LONG_TERM,0,No,2
LONG_TERM_PERC,1,<25%,1
LONG_TERM_PERC,2,26-49%,2
LONG_TERM_PERC,3,50-74%,3
LONG_TERM_PERC,4,75-99%,4
LONG_TERM_PERC,5,100%,5
LONG_TERM_PERC,-2,Not applicable,6
MAN_IN,1,Company employees,1
MAN_LOCAL,1,Local/regional consultants,2
MAN_NATL,1,National consultants,3
MAN_OTH,1,Other,4
MAN_OTH,1,Other,9
MANPLAN_PERC_CAT,0,0-49%,1
MANPLAN_PERC_CAT,50,50-69%,2
MANPLAN_PERC_CAT,70,70-79%,3
MANPLAN_PERC_CAT,80,80-89%,4
MANPLAN_PERC_CAT,90,90-94%,5
MANPLAN_PERC_CAT,95,95-100%,6
MILLS,1,Yes,1
MILLS,0,No,2
OBJ_BEA,5,Very important,1
OBJ_BEA,4,Important,2
OBJ_BEA,3,Moderately important,3
OBJ_BEA,2,Of little importance,4
OBJ_BEA,1,Not important,5
OBJ_BEA,8,Not applicable,6
OBJ_CARB,5,Very important,1
OBJ_CARB,4,Important,2
OBJ_CARB,3,Moderately important,3
OBJ_CARB,2,Of little importance,4
OBJ_CARB,1,Not important,5
OBJ_CARB,8,Not applicable,6
OBJ_FIRE,5,Very important,1
OBJ_FIRE,4,Important,2
OBJ_FIRE,3,Moderately important,3
OBJ_FIRE,2,Of little importance,4
OBJ_FIRE,1,Not important,5
OBJ_FIRE,8,Not applicable,6
OBJ_HUNT,5,Very important,1
OBJ_HUNT,4,Important,2
OBJ_HUNT,3,Moderately important,3
OBJ_HUNT,2,Of little importance,4
OBJ_HUNT,1,Not important,5
OBJ_HUNT,8,Not applicable,6
OBJ_INV,5,Very important,1
OBJ_INV,4,Important,2
OBJ_INV,3,Moderately important,3
OBJ_INV,2,Of little importance,4
OBJ_INV,1,Not important,5
OBJ_INV,8,Not applicable,6
OBJ_MIN,5,Very important,1
OBJ_MIN,4,Important,2
OBJ_MIN,3,Moderately important,3
OBJ_MIN,2,Of little importance,4
OBJ_MIN,1,Not important,5
OBJ_MIN,8,Not applicable,6
OBJ_NAT,5,Very important,1
OBJ_NAT,4,Important,2
OBJ_NAT,3,Moderately important,3
OBJ_NAT,2,Of little importance,4
OBJ_NAT,1,Not important,5
OBJ_NAT,8,Not applicable,6
OBJ_NTFP,5,Very important,1
OBJ_NTFP,4,Important,2
OBJ_NTFP,3,Moderately important,3
OBJ_NTFP,2,Of little importance,4
OBJ_NTFP,1,Not important,5
OBJ_NTFP,8,Not applicable,6
OBJ_OIL,5,Very important,1
OBJ_OIL,4,Important,2
OBJ_OIL,3,Moderately important,3
OBJ_OIL,2,Of little importance,4
OBJ_OIL,1,Not important,5
OBJ_OIL,8,Not applicable,6
OBJ_REC,5,Very important,1
OBJ_REC,4,Important,2
OBJ_REC,3,Moderately important,3
OBJ_REC,2,Of little importance,4
OBJ_REC,1,Not important,5
OBJ_REC,8,Not applicable,6
OBJ_TIM,5,Very important,1
OBJ_TIM,4,Important,2
OBJ_TIM,3,Moderately important,3
OBJ_TIM,2,Of little importance,4
OBJ_TIM,1,Not important,5
OBJ_TIM,8,Not applicable,6
OBJ_WAT,5,Very important,1
OBJ_WAT,4,Important,2
OBJ_WAT,3,Moderately important,3
OBJ_WAT,2,Of little importance,4
OBJ_WAT,1,Not important,5
OBJ_WAT,8,Not applicable,6
OBJ_WIL,5,Very important,1
OBJ_WIL,4,Important,2
OBJ_WIL,3,Moderately important,3
OBJ_WIL,2,Of little importance,4
OBJ_WIL,1,Not important,5
OBJ_WIL,8,Not applicable,6
REC_EMP,1,Company employees,1
REC_FEE,1,General public (for fee),3
REC_GENPOP,1,General public (free),4
REC_NEIGH,1,Neighbors,2
REC_NOBODY,1,Nobody,6
REC_OTH,1,Other,5
REIT,1,Yes,1
REIT,0,No,2
RES_COOP,1,Contribute to research cooperatives,3
RES_FUND,1,Directly fund scientific research,2
RES_IN,1,Employ in-house researchers,1
REV,1,0-25%,1
REV,2,26-49%,2
REV,3,50-74%,3
REV,4,75-99%,4
REV,5,100%,5
SEED,1,Yes,1
SEED,0,No,2
SILV_COMM,1,Commercial thinnings,7
SILV_GROUP,1,Group selection,6
SILV_NAT,1,Clearcut with natural regeneration,2
SILV_OTH,1,Other,10
SILV_PLANT,1,Clearcut with planting,1
SILV_PRECOM,1,Pre-commercial thinnings,8
SILV_REAL,1,Real estate cuts,9
SILV_SEED,1,Seedtree cuts,3
SILV_SHELTER,1,Shelterwood,4
SILV_SINGLE,1,Single tree selection,5
SOLD_PAST_CAT,0,0-999,1
SOLD_PAST_CAT,1,"1,000-1,999",2
SOLD_PAST_CAT,2,"2,000-4,999",3
SOLD_PAST_CAT,5,"5,000-9,999",4
SOLD_PAST_CAT,10,"10,000-49,999",5
SOLD_PAST_CAT,50,"50,000-99,999",6
SOLD_PAST_CAT,100,"100,000+",7
THIN,1,Yes,1
THIN,0,No,2
TIMO,1,Yes,1
TIMO,0,No,2
TOTAL,1,Large corporate,1
USE_AGRO,1,Agroforestry / livestock grazing,8
USE_CARB,1,Carbon sequestration ,9
USE_HAB,1,Wildlife habitat or biodiversity program,7
USE_HUNT,1,Hunting,4
USE_MIN,1,"Mineral, oil, or gas extraction",1
USE_OTH,1,Other,10
USE_PWAT,1,Public water supply protection,6
USE_REC,1,Recreation (other than hunting),3
USE_TIM,1,Long-term leasing for timber production,2
USE_WET,1,Wetland mitigation banking,5
WF_EQUIP,1,Yes,1
WF_EQUIP,0,No,2
